Component,Story,Mode,Violation count,Rules
 CitationChip,Default,dark,0,
 CitationChip,Default,light,0,
 CitationChip,Default,hc,0,
 CitationChip,All Variants,dark,0,
 CitationChip,All Variants,light,2,color-contrast×2
 CitationChip,All Variants,hc,2,color-contrast×2
 CitationChip,Interactive,dark,0,
 CitationChip,Interactive,light,0,
 CitationChip,Interactive,hc,0,
 CitationChip,In Prose,dark,0,
 CitationChip,In Prose,light,0,
 CitationChip,In Prose,hc,0,
 CitationChip,Gallery,dark,0,
 CitationChip,Gallery,light,2,color-contrast×2
 CitationChip,Gallery,hc,2,color-contrast×2
 CitationChip,All Variants Row,dark,0,
 CitationChip,All Variants Row,light,2,color-contrast×2
 CitationChip,All Variants Row,hc,2,color-contrast×2
 CitationChip,All Variants Row Mobile,dark,0,
 CitationChip,All Variants Row Mobile,light,2,color-contrast×2
 CitationChip,All Variants Row Mobile,hc,2,color-contrast×2
 CitationChip,Retrieval Failed,dark,0,
 CitationChip,Retrieval Failed,light,1,color-contrast×1
 CitationChip,Retrieval Failed,hc,1,color-contrast×1
 CitationChip,User Pinned,dark,0,
 CitationChip,User Pinned,light,0,
 CitationChip,User Pinned,hc,0,
 ClientGrid,Default Attention Mode,dark,0,
 ClientGrid,Default Attention Mode,light,0,
 ClientGrid,Default Attention Mode,hc,0,
 ClientGrid,All Mode 12 Clients,dark,0,
 ClientGrid,All Mode 12 Clients,light,0,
 ClientGrid,All Mode 12 Clients,hc,0,
 ClientGrid,Four Columns,dark,0,
 ClientGrid,Four Columns,light,0,
 ClientGrid,Four Columns,hc,0,
 ClientGrid,Two Columns,dark,0,
 ClientGrid,Two Columns,light,0,
 ClientGrid,Two Columns,hc,0,
 ClientGrid,With Heading Action,dark,0,
 ClientGrid,With Heading Action,light,0,
 ClientGrid,With Heading Action,hc,0,
 ClientGrid,Empty Attention,dark,0,
 ClientGrid,Empty Attention,light,0,
 ClientGrid,Empty Attention,hc,0,
 ClientGrid,Empty All,dark,0,
 ClientGrid,Empty All,light,0,
 ClientGrid,Empty All,hc,0,
 ClientGrid,Loading,dark,0,
 ClientGrid,Loading,light,0,
 ClientGrid,Loading,hc,0,
 ClientGrid,Interactive Cards,dark,0,
 ClientGrid,Interactive Cards,light,0,
 ClientGrid,Interactive Cards,hc,0,
 ClientGrid,Interactive Pill,dark,0,
 ClientGrid,Interactive Pill,light,0,
 ClientGrid,Interactive Pill,hc,0,
 ClientGrid,Bare No Chrome,dark,0,
 ClientGrid,Bare No Chrome,light,0,
 ClientGrid,Bare No Chrome,hc,0,
 ClientGrid,Responsive Breakpoints,dark,0,
 ClientGrid,Responsive Breakpoints,light,0,
