Component,Story,Mode,Violation count,Last updated,Impact
ClientGrid,All Mode 12 Clients,dark,66,2026-06-10 00:56:54,2-serious
ClientGrid,Four Columns,dark,66,2026-06-10 00:56:54,2-serious
ClientGrid,Responsive Breakpoints,dark,64,2026-06-10 00:56:54,2-serious
ClientGrid,Mobile Viewport,dark,21,2026-06-10 00:56:54,2-serious
ClientGrid,Default Attention Mode,dark,21,2026-06-10 00:56:54,2-serious
ClientGrid,Two Columns,dark,21,2026-06-10 00:56:54,2-serious
ClientGrid,With Heading Action,dark,21,2026-06-10 00:56:54,2-serious
ClientGrid,Desktop Viewport,dark,21,2026-06-10 00:56:54,2-serious
ClientGrid,Tablet Viewport,dark,21,2026-06-10 00:56:54,2-serious
ClientGrid,Bare No Chrome,dark,20,2026-06-10 00:56:54,2-serious
ClientGrid,Interactive Pill,dark,18,2026-06-10 00:56:54,2-serious
ClientGrid,All Mode 12 Clients,light,5,2026-06-10 00:56:54,2-serious
ClientGrid,Four Columns,light,5,2026-06-10 00:56:54,2-serious
ClientGrid,Four Columns,hc,5,2026-06-10 00:56:54,2-serious
ClientGrid,All Mode 12 Clients,hc,5,2026-06-10 00:56:54,2-serious
ClientGrid,Interactive Cards,dark,4,2026-06-10 00:56:54,2-serious
ClientGrid,Responsive Breakpoints,light,4,2026-06-10 00:56:54,2-serious
ClientGrid,Responsive Breakpoints,hc,4,2026-06-10 00:56:54,2-serious
ClientGrid,Interactive Cards,hc,3,2026-06-10 00:56:54,2-serious
ClientGrid,Interactive Cards,light,3,2026-06-10 00:56:54,2-serious
ClientGrid,Empty Attention,dark,2,2026-06-10 00:56:54,2-serious
ClientGrid,Empty All,dark,2,2026-06-10 00:56:54,2-serious
ClientGrid,Bare No Chrome,hc,1,2026-06-10 00:56:54,2-serious
ClientGrid,Mobile Viewport,light,1,2026-06-10 00:56:54,2-serious
ClientGrid,Bare No Chrome,light,1,2026-06-10 00:56:54,2-serious
ClientGrid,Tablet Viewport,hc,1,2026-06-10 00:56:54,2-serious
ClientGrid,Loading,dark,1,2026-06-10 00:56:54,2-serious
ClientGrid,Desktop Viewport,hc,1,2026-06-10 00:56:54,2-serious
ClientGrid,Desktop Viewport,light,1,2026-06-10 00:56:54,2-serious
ClientGrid,Desktop Viewport,viewport-desktop-1280,1,2026-06-10 00:56:54,2-serious
ClientGrid,Tablet Viewport,light,1,2026-06-10 00:56:54,2-serious
ClientGrid,Tablet Viewport,viewport-tablet-768,1,2026-06-10 00:56:54,2-serious
ClientGrid,Mobile Viewport,hc,1,2026-06-10 00:56:54,2-serious
ClientGrid,Mobile Viewport,viewport-mobile-375,1,2026-06-10 00:56:54,2-serious
ClientGrid,Two Columns,hc,1,2026-06-10 00:56:54,2-serious
